old_title,old_url,old_slug,new_guide_title,new_guide_url,new_slug,status,content_status,redirect_status,image_status,priority,notes
"Why Commercial Timber Flooring Is a Smart Investment for High-Traffic Spaces",https://oztimberfloor.com.au/commercial-timber-flooring-high-traffic-spaces-sydney/,commercial-timber-flooring-high-traffic-spaces-sydney,"Why Commercial Timber Flooring Is a Smart Investment for High-Traffic Spaces",https://oztimberfloor.com.au/guides/commercial-timber-flooring-high-traffic-spaces-sydney/,commercial-timber-flooring-high-traffic-spaces-sydney,migrated,full copied,redirect implemented,fallback local image used,P2,"Guide retained and refreshed with cleaned full article body."
"What Builders and Designers Look for in a Commercial Timber Flooring Specialist",https://oztimberfloor.com.au/commercial-timber-flooring-specialist-sydney-builders-designers/,commercial-timber-flooring-specialist-sydney-builders-designers,"What Builders and Designers Look for in a Commercial Timber Flooring Specialist",https://oztimberfloor.com.au/guides/commercial-timber-flooring-specialist-sydney-builders-designers/,commercial-timber-flooring-specialist-sydney-builders-designers,migrated,full copied,redirect implemented,fallback local image used,P2,"Guide retained and refreshed with cleaned full article body."
"Vinyl Timber Flooring: A Practical Guide to Choosing a Style for Kitchens, Living Areas, and Apartments",https://oztimberfloor.com.au/guide-to-choosing-the-right-vinyl-timber-flooring/,guide-to-choosing-the-right-vinyl-timber-flooring,"Vinyl Timber Flooring: A Practical Guide to Choosing a Style for Kitchens, Living Areas, and Apartments",https://oztimberfloor.com.au/guides/guide-to-choosing-the-right-vinyl-timber-flooring/,guide-to-choosing-the-right-vinyl-timber-flooring,migrated,full copied,redirect implemented,fallback local image used,P2,"Guide retained and refreshed with cleaned full article body."
"Busy Sydney Homes: Why Hardwood Timber Flooring Is a Long-Term Investment in Durability and Aesthetic Value",https://oztimberfloor.com.au/why-hardwood-timber-flooring-is-a-good-investment/,why-hardwood-timber-flooring-is-a-good-investment,"Busy Sydney Homes: Why Hardwood Timber Flooring Is a Long-Term Investment in Durability and Aesthetic Value",https://oztimberfloor.com.au/guides/why-hardwood-timber-flooring-is-a-good-investment/,why-hardwood-timber-flooring-is-a-good-investment,migrated,full copied,redirect implemented,fallback local image used,P2,"Guide retained and refreshed with cleaned full article body."
"How Hybrid Timber Flooring Performs in Sydney Apartments: Acoustic Ratings, Strata Rules, and Installation Tips",https://oztimberfloor.com.au/how-hybrid-timber-flooring-performs-in-sydney-apartments/,how-hybrid-timber-flooring-performs-in-sydney-apartments,"How Hybrid Timber Flooring Performs in Sydney Apartments: Acoustic Ratings, Strata Rules, and Installation Tips",https://oztimberfloor.com.au/guides/how-hybrid-timber-flooring-performs-in-sydney-apartments/,how-hybrid-timber-flooring-performs-in-sydney-apartments,migrated,full copied,redirect implemented,fallback local image used,P2,"Guide retained and refreshed with cleaned full article body."
"Commercial Timber Flooring: Why It's the Premium Choice for High-Traffic and High-End Spaces",https://oztimberfloor.com.au/why-commercial-timber-flooring-is-the-right-choice-for-high-end-spaces/,why-commercial-timber-flooring-is-the-right-choice-for-high-end-spaces,"Commercial Timber Flooring: Why It's the Premium Choice for High-Traffic and High-End Spaces",https://oztimberfloor.com.au/guides/why-commercial-timber-flooring-is-the-right-choice-for-high-end-spaces/,why-commercial-timber-flooring-is-the-right-choice-for-high-end-spaces,migrated,full copied,redirect implemented,fallback local image used,P2,"Guide retained and refreshed with cleaned full article body."
"Sydney Renovations: When to Restore, Replace, or Extend Existing Solid Timber Floors",https://oztimberfloor.com.au/when-to-restore-replace-or-extend-existing-solid-timber-floors/,when-to-restore-replace-or-extend-existing-solid-timber-floors,"Sydney Renovations: When to Restore, Replace, or Extend Existing Solid Timber Floors",https://oztimberfloor.com.au/guides/when-to-restore-replace-or-extend-existing-solid-timber-floors/,when-to-restore-replace-or-extend-existing-solid-timber-floors,migrated,full copied,redirect implemented,fallback local image used,P2,"Guide retained and refreshed with cleaned full article body."
"Commercial Timber Flooring Sydney: Local Supply, Installation, and Custom Finish Options",https://oztimberfloor.com.au/local-supply-installation-and-custom-finish-options-for-commercial-timber-flooring/,local-supply-installation-and-custom-finish-options-for-commercial-timber-flooring,"Commercial Timber Flooring Sydney: Local Supply, Installation, and Custom Finish Options",https://oztimberfloor.com.au/guides/local-supply-installation-and-custom-finish-options-for-commercial-timber-flooring/,local-supply-installation-and-custom-finish-options-for-commercial-timber-flooring,migrated,full copied,redirect implemented,fallback local image used,P2,"Guide retained and refreshed with cleaned full article body."
"Choosing the Right Flooring for Office Spaces: Durability, Design and Performance",https://oztimberfloor.com.au/choosing-office-flooring-durability-design-performance/,choosing-office-flooring-durability-design-performance,"Choosing the Right Flooring for Office Spaces: Durability, Design and Performance",https://oztimberfloor.com.au/guides/choosing-office-flooring-durability-design-performance/,choosing-office-flooring-durability-design-performance,migrated,full copied,redirect implemented,fallback local image used,P2,"Guide retained and refreshed with cleaned full article body."
"What to Expect from a Professional Commercial Flooring Installation",https://oztimberfloor.com.au/professional-commercial-flooring-installation-what-to-expect/,professional-commercial-flooring-installation-what-to-expect,"What to Expect from a Professional Commercial Flooring Installation",https://oztimberfloor.com.au/guides/professional-commercial-flooring-installation-what-to-expect/,professional-commercial-flooring-installation-what-to-expect,migrated,full copied,redirect implemented,fallback local image used,P2,"Guide retained and refreshed with cleaned full article body."
"Solid Timber Flooring vs. Engineered Flooring: Which One is Right for You?",https://oztimberfloor.com.au/solid-timber-flooring-vs-engineered-flooring-which-one-is-right-for-you/,solid-timber-flooring-vs-engineered-flooring-which-one-is-right-for-you,"Solid Timber Flooring vs. Engineered Flooring: Which One is Right for You?",https://oztimberfloor.com.au/guides/solid-timber-flooring-vs-engineered-flooring-which-one-is-right-for-you/,solid-timber-flooring-vs-engineered-flooring-which-one-is-right-for-you,migrated,full copied,redirect implemented,fallback local image used,P1,"Guide retained and refreshed with cleaned full article body."
"5 Tell-Tale Signs Engineered Timber Flooring is Right for Your Property",https://oztimberfloor.com.au/5-tell-tale-signs-engineered-timber-flooring-is-right-for-your-property/,5-tell-tale-signs-engineered-timber-flooring-is-right-for-your-property,"5 Tell-Tale Signs Engineered Timber Flooring is Right for Your Property",https://oztimberfloor.com.au/guides/5-tell-tale-signs-engineered-timber-flooring-is-right-for-your-property/,5-tell-tale-signs-engineered-timber-flooring-is-right-for-your-property,migrated,full copied,redirect implemented,fallback local image used,P1,"Guide retained and refreshed with cleaned full article body."
"Laying the Foundations Right: Why Floor Levelling Matters for Your Timber Flooring",https://oztimberfloor.com.au/laying-the-foundations-right-why-floor-levelling-matters-for-your-timber-flooring/,laying-the-foundations-right-why-floor-levelling-matters-for-your-timber-flooring,"Laying the Foundations Right: Why Floor Levelling Matters for Your Timber Flooring",https://oztimberfloor.com.au/guides/laying-the-foundations-right-why-floor-levelling-matters-for-your-timber-flooring/,laying-the-foundations-right-why-floor-levelling-matters-for-your-timber-flooring,migrated,full copied,redirect implemented,fallback local image used,P1,"Guide retained and refreshed with cleaned full article body."
"Common Questions We Get As Hybrid Floor Installers In Sydney",https://oztimberfloor.com.au/common-questions-we-get-as-hybrid-floor-installers-in-sydney/,common-questions-we-get-as-hybrid-floor-installers-in-sydney,"Common Questions We Get As Hybrid Floor Installers In Sydney",https://oztimberfloor.com.au/guides/common-questions-we-get-as-hybrid-floor-installers-in-sydney/,common-questions-we-get-as-hybrid-floor-installers-in-sydney,migrated,full copied,redirect implemented,fallback local image used,P1,"Guide retained and refreshed with cleaned full article body."
"3 Reasons Why Modern Homes Use Engineered Oak Flooring In Sydney",https://oztimberfloor.com.au/3-reasons-why-modern-homes-use-engineered-oak-flooring-in-sydney/,3-reasons-why-modern-homes-use-engineered-oak-flooring-in-sydney,"3 Reasons Why Modern Homes Use Engineered Oak Flooring In Sydney",https://oztimberfloor.com.au/guides/3-reasons-why-modern-homes-use-engineered-oak-flooring-in-sydney/,3-reasons-why-modern-homes-use-engineered-oak-flooring-in-sydney,migrated,full copied,redirect implemented,fallback local image used,P1,"Guide retained and refreshed with cleaned full article body."
"Your Guide For Choosing A Reliable Sydney Timber Flooring Provider",https://oztimberfloor.com.au/your-guide-for-choosing-a-reliable-sydney-timber-flooring-provider/,your-guide-for-choosing-a-reliable-sydney-timber-flooring-provider,"Your Guide For Choosing A Reliable Sydney Timber Flooring Provider",https://oztimberfloor.com.au/guides/your-guide-for-choosing-a-reliable-sydney-timber-flooring-provider/,your-guide-for-choosing-a-reliable-sydney-timber-flooring-provider,migrated,full copied,redirect implemented,fallback local image used,P1,"Guide retained and refreshed with cleaned full article body."
"Why A Hardwood Timber Floor Will Never Be Out Of Style",https://oztimberfloor.com.au/why-a-hardwood-timber-floor-will-never-be-out-of-style/,why-a-hardwood-timber-floor-will-never-be-out-of-style,"Why A Hardwood Timber Floor Will Never Be Out Of Style",https://oztimberfloor.com.au/guides/why-a-hardwood-timber-floor-will-never-be-out-of-style/,why-a-hardwood-timber-floor-will-never-be-out-of-style,migrated,full copied,redirect implemented,fallback local image used,P1,"Guide retained and refreshed with cleaned full article body."
"The 5 Questions To Ask Your Timber Floor Installer In Sydney",https://oztimberfloor.com.au/the-5-questions-to-ask-your-timber-floor-installer-in-sydney/,the-5-questions-to-ask-your-timber-floor-installer-in-sydney,"The 5 Questions To Ask Your Timber Floor Installer In Sydney",https://oztimberfloor.com.au/guides/the-5-questions-to-ask-your-timber-floor-installer-in-sydney/,the-5-questions-to-ask-your-timber-floor-installer-in-sydney,migrated,full copied,redirect implemented,fallback local image used,P1,"Guide retained and refreshed with cleaned full article body."
"3 Services Timber Floor Installers In Sydney Can Do For You",https://oztimberfloor.com.au/3-services-timber-floor-installers-in-sydney-can-do-for-you/,3-services-timber-floor-installers-in-sydney-can-do-for-you,"3 Services Timber Floor Installers In Sydney Can Do For You",https://oztimberfloor.com.au/guides/3-services-timber-floor-installers-in-sydney-can-do-for-you/,3-services-timber-floor-installers-in-sydney-can-do-for-you,migrated,full copied,redirect implemented,fallback local image used,P1,"Guide retained and refreshed with cleaned full article body."
"Hire Over DIY: Why Hiring A Timber Floor Installer In Sydney Is A Smart Choice",https://oztimberfloor.com.au/hire-over-diy/,hire-over-diy,"Hire Over DIY: Why Hiring A Timber Floor Installer In Sydney Is A Smart Choice",https://oztimberfloor.com.au/guides/hire-over-diy/,hire-over-diy,migrated,full copied,redirect implemented,fallback local image used,P1,"Guide retained and refreshed with cleaned full article body."
